key,en,zh-CN,zh-TW,ja,ko,es,ru,sv,pt,de,fr,it
language_name,English,中文（简体),中文（繁體),日本語,한국인,Español,Русский,Svenska,Português,Deutsch,Français,Italiano
settings,Settings,设置,設定,設定,설정,Configuración,Настройки,Inställningar,Configurações,Einstellungen,Paramètres,Impostazioni
resume,Resume,恢复,繼續,再開,재개,Reanudar,Продолжить,Fortsätt,Continuar,Fortsetzen,Reprendre,Riprendi
restart,Restart Puzzle,重新开始谜题,重新開始謎題,パズルをリスタート,퍼즐 재시작,Reiniciar Puzles,Перезапуск,Starta om pussel,Reiniciar Puzzle,Puzzle neustarten,Redémarrer puzzle,Riavvia Puzzle
quit,Quit,退出,離開,終了,종료,Salir,Выйти,Avsluta,Sair,Beenden,Quitter,Esci
display,Display Mode,显示模式,顯示模式,ディスプレイモード,디스플레이 모드,Modo de Pantalla,Режим экрана,Skärmläge,Modo de Exibição,Anzeigemodus,Mode d'affichage,Modalità Display
fullscreen,Fullscreen,全屏,全螢幕,フルスクリーン,전체 화면,Completa,Полн. экр.,Helskärm,Tela Cheia,Vollbild,Plein écran,Intero
windowed,Windowed,窗口,視窗,ウィンドウ,창 모드,Ventana,Оконный,Fönster,Janela,Fenster,Fenêtré,Finestra
borderless,Borderless,无边框,無邊框,ボーダーレス,테두리 없음,Sin Bordes,Без рамки,Ramlös,Sem Bordas,Randlos,Sans bordure,Senza Bordi
overallVolume,Overall Volume,总音量,總音量,全体音量,전체 볼륨,Volumen General,Общая громкость,Huvudvolym,Volume Geral,Gesamtlautstärke,Volume général,Volume Generale
musicVolume,Music Volume,音乐音量,音樂音量,音楽音量,음악 볼륨,Volumen de Música,музыки,Musikvolym,Volume da Música,Musik,Musique,Musica
sfxVolume,SFX Volume,音效音量,音效音量,効果音音量,효과음 볼륨,Volumen de Efectos,Эффекты,Ljudeffektsvolym,Volume de Efeitos,Effekte,Effets sonores,Effetti
language,Language,语言,語言,言語,언어,Idioma,Язык,Språk,Idioma,Sprache,Langue,Lingua
on,On,开,開,オン,켜기,Act,Вкл,På,Lig,Ein,On,Att
off,Off,关,關,オフ,끄기,Des,Выкл,Av,Des,Aus,Off,Dis
vsync,VSync,垂直同步,垂直同步,VSync,수직 동기화,VSync,VSync,VSync,VSync,VSync,VSync,VSync
back,Back,返回,返回,戻る,뒤로,Volver,Назад,Tillbaka,Voltar,Zurück,Retour,Indietro
resolution,Resolution,分辨率,解析度,解像度,해상도,Resolución,Разрешение,Upplösning,Resolução,Auflösung,Résolution,Risoluzione
controls,Controls,控制,控制,コントロール,조작,Controles,Управление,Kontroller,Controles,Steuerung,Contrôles,Controlli
left,Left,左,左,左,좌,Izquierda,Влево,Vänster,Esquerda,Links,Gauche,Sinistra
right,Right,右,右,右,우,Derecha,Вправо,Höger,Direita,Rechts,Droite,Destra
up,Up,上,上,上,위,Arriba,Вверх,Upp,Cima,Oben,Haut,Su
down,Down,下,下,下,아래,Abajo,Вниз,Ner,Baixo,Unten,Bas,Giù
pause,Pause,暂停,暫停,ポーズ,일시정지,Pausa,Пауза,Paus,Pausar,Pausieren,Pause,Pausa
interact,Interact,交互,互動,インタラクト,상호작용,Interactuar,Взаимодействовать,Interagera,Interagir,Interagieren,Interagir,Interagisci
